"","study","variable","subsample","percentage","n","comment","value","mean","sd","median","moment","minimum","maximum","qualitative","size","recruitmentSetting","year","startyear","endyear","geography","descent","samplingMethod","samplingAselect","dependent","datatype","specifiesSubsample","frequency","depVarValue","depVarName"
"507","May2013d.r","Binge during 3+","Case mothers FAS","78.8",NA,"extracted from Table 1, page 505",1,NA,NA,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,49.644,1,"FAS diagnosis"
"508","May2013d.r","Binge during 3+","Case mothers pFAS","74.4",NA,"extracted from Table 1, page 505",1,NA,NA,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35.712,1,"pFAS diagnosis"
"509","May2013d.r","Binge during 3+","Case mothers ARND","80.8",NA,"extracted from Table 1, page 505",1,NA,NA,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,25.856,1,"ARND diagnosis"
"510","May2013d.r","Binge during 5+","Case mothers FAS","59.6",NA,"extracted from Table 1, page 505",1,NA,NA,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,37.548,1,"FAS diagnosis"
"511","May2013d.r","Binge during 5+","Case mothers pFAS","53.8",NA,"extracted from Table 1, page 505",1,NA,NA,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,25.824,1,"pFAS diagnosis"
"512","May2013d.r","Binge during 5+","Case mothers ARND","61.5",NA,"extracted from Table 1, page 505",1,NA,NA,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,19.68,1,"ARND diagnosis"
"513","May2013d.r","Drinks during first trimester","Case mothers FAS",NA,NA,"extracted from Table 1, page 505",NA,6.8,6.4,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"514","May2013d.r","Drinks during first trimester","Case mothers pFAS",NA,NA,"extracted from Table 1, page 505",NA,6,7,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"515","May2013d.r","Drinks during first trimester","Case mothers ARND",NA,NA,"extracted from Table 1, page 505",NA,5.9,4.5,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"516","May2013d.r","Drinks during second trimester","Case mothers FAS",NA,NA,"extracted from Table 1, page 505",NA,6.5,6.9,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"517","May2013d.r","Drinks during second trimester","Case mothers pFAS",NA,NA,"extracted from Table 1, page 505",NA,5.1,7.2,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"518","May2013d.r","Drinks during second trimester","Case mothers ARND",NA,NA,"extracted from Table 1, page 505",NA,4.9,5.1,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"519","May2013d.r","Drinks during third trimester","Case mothers FAS",NA,NA,"extracted from Table 1, page 505",NA,5.2,6.9,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"520","May2013d.r","Drinks during third trimester","Case mothers pFAS",NA,NA,"extracted from Table 1, page 505",NA,4.3,7.2,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"521","May2013d.r","Drinks during third trimester","Case mothers ARND",NA,NA,"extracted from Table 1, page 505",NA,3.8,5.6,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"522","May2013d.r","Drinking days current a week","Case mothers FAS",NA,NA,"extracted from Table 2, page 507",NA,2.25,1.1,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"523","May2013d.r","Drinking days current a week","Case mothers pFAS",NA,NA,"extracted from Table 2, page 507",NA,1.8,0.9,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"524","May2013d.r","Drinking days current a week","Case mothers ARND",NA,NA,"extracted from Table 2, page 507",NA,2.5,1.1,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"525","May2013d.r","Drinking days during a week","Case mothers FAS",NA,NA,"extracted from Table 2, page 507",NA,2.27,1.2,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"526","May2013d.r","Drinking days during a week","Case mothers pFAS",NA,NA,"extracted from Table 2, page 507",NA,1.75,1.1,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"527","May2013d.r","Drinking days during a week","Case mothers ARND",NA,NA,"extracted from Table 2, page 507",NA,1.88,1.1,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"528","May2013d.r","Drinking days during first trimester","Case mothers FAS",NA,NA,"extracted from Table 2, page 507",NA,2.66,1.1,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"529","May2013d.r","Drinking days during first trimester","Case mothers pFAS",NA,NA,"extracted from Table 2, page 507",NA,2.22,0.9,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"530","May2013d.r","Drinking days during first trimester","Case mothers ARND",NA,NA,"extracted from Table 2, page 507",NA,2.31,0.9,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"531","May2013d.r","Drinking days during second trimester","Case mothers FAS",NA,NA,"extracted from Table 2, page 507",NA,2.66,1.2,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"532","May2013d.r","Drinking days during second trimester","Case mothers pFAS",NA,NA,"extracted from Table 2, page 507",NA,2.22,0.9,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"533","May2013d.r","Drinking days during second trimester","Case mothers ARND",NA,NA,"extracted from Table 2, page 507",NA,2.36,1.1,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"534","May2013d.r","Drinking days during third trimester","Case mothers FAS",NA,NA,"extracted from Table 2, page 507",NA,2.56,1.1,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"535","May2013d.r","Drinking days during third trimester","Case mothers pFAS",NA,NA,"extracted from Table 2, page 507",NA,2.24,1,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"536","May2013d.r","Drinking days during third trimester","Case mothers ARND",NA,NA,"extracted from Table 2, page 507",NA,2.69,0.9,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"537","May2013d.r","Peak estimated BAC first trimester","Case mothers FAS",NA,NA,"extracted from Table 1, page 505",NA,0.175,0.11,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"538","May2013d.r","Peak estimated BAC first trimester","Case mothers pFAS",NA,NA,"extracted from Table 1, page 505",NA,0.132,0.09,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"539","May2013d.r","Peak estimated BAC first trimester","Case mothers ARND",NA,NA,"extracted from Table 1, page 505",NA,0.17,0.11,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"540","May2013d.r","Peak estimated BAC second trimester","Case mothers FAS",NA,NA,"extracted from Table 1, page 505",NA,0.161,0.1,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"541","May2013d.r","Peak estimated BAC second trimester","Case mothers pFAS",NA,NA,"extracted from Table 1, page 505",NA,0.119,0.08,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"542","May2013d.r","Peak estimated BAC second trimester","Case mothers ARND",NA,NA,"extracted from Table 1, page 505",NA,0.167,0.12,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"543","May2013d.r","Peak estimated BAC third trimester","Case mothers FAS",NA,NA,"extracted from Table 1, page 505",NA,0.14,0.08,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FAS diagnosis"
"544","May2013d.r","Peak estimated BAC third trimester","Case mothers pFAS",NA,NA,"extracted from Table 1, page 505",NA,0.108,0.06,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"pFAS diagnosis"
"545","May2013d.r","Peak estimated BAC third trimester","Case mothers ARND",NA,NA,"extracted from Table 1, page 505",NA,0.195,0.12,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"ARND diagnosis"
"546","May2013d.r","FAS diagnosis","Case mothers FAS","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,63,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,63,NA,NA
"547","May2013d.r","pFAS diagnosis","Case mothers pFAS","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,48,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,48,NA,NA
"548","May2013d.r","ARND diagnosis","Case mothers ARND","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,32,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,32,NA,NA
"549","May2013e.r","Drinking during","Case mothers FAS","91.4",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,62.152,NA,NA
"550","May2013e.r","Drinking during","Case mothers pFAS","89.1",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,46.332,NA,NA
"551","May2013e.r","Drinking during","Case mothers ARND","96.8",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,33.88,NA,NA
"552","May2013e.r","Drinks during a week","Case mothers FAS",NA,NA,"extracted from Table 3 page 826",NA,13.4,14,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"553","May2013e.r","Drinks during a week","Case mothers pFAS",NA,NA,"extracted from Table 3 page 826",NA,13.1,16.1,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"554","May2013e.r","Drinks during a week","Case mothers ARND",NA,NA,"extracted from Table 3 page 826",NA,13,15,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"555","May2013e.r","Current tobacco use","Case mothers FAS",NA,NA,"each cigarette is 1 g. Extracted from Table 3 page 826",NA,33,18.6,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"556","May2013e.r","Current tobacco use","Case mothers pFAS",NA,NA,"each cigarette is 1 g. Extracted from Table 3 page 826",NA,61.9,54.9,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"557","May2013e.r","Current tobacco use","Case mothers ARND",NA,NA,"each cigarette is 1 g. Extracted from Table 3 page 826",NA,48.2,35.2,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"558","May2013e.r","Binge during 3+","Case mothers FAS","78.8",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,53.584,NA,NA
"559","May2013e.r","Binge during 3+","Case mothers pFAS","74.4",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,38.688,NA,NA
"560","May2013e.r","Binge during 3+","Case mothers ARND","80.8",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,28.28,NA,NA
"561","May2013e.r","Binge during 5+","Case mothers FAS","59.6",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,40.528,NA,NA
"562","May2013e.r","Binge during 5+","Case mothers pFAS","53.8",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,27.976,NA,NA
"563","May2013e.r","Binge during 5+","Case mothers ARND","61.5",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,21.525,NA,NA
"564","May2013e.r","Smoking current","Case mothers FAS","97.7",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,66.436,NA,NA
"565","May2013e.r","Smoking current","Case mothers pFAS","78.1",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,40.612,NA,NA
"566","May2013e.r","Smoking current","Case mothers ARND","100",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35,NA,NA
"567","May2013e.r","Smoking during","Case mothers FAS","86",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,58.48,NA,NA
"568","May2013e.r","Smoking during","Case mothers pFAS","94.3",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,49.036,NA,NA
"569","May2013e.r","Smoking during","Case mothers ARND","86.4",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,30.24,NA,NA
"570","May2013e.r","Consumes alcohol: current last year","Case mothers FAS","100",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,68,NA,NA
"571","May2013e.r","Consumes alcohol: current last year","Case mothers pFAS","96.9",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,50.388,NA,NA
"572","May2013e.r","Consumes alcohol: current last year","Case mothers ARND","100",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35,NA,NA
"573","May2013e.r","Drinking before","Case mothers FAS","81.6",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,55.488,NA,NA
"574","May2013e.r","Drinking before","Case mothers pFAS","94.6",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,49.192,NA,NA
"575","May2013e.r","Drinking before","Case mothers ARND","100",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35,NA,NA
"576","May2013e.r","Drinking during first trimester","Case mothers FAS","84.6",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,57.528,NA,NA
"577","May2013e.r","Drinking during first trimester","Case mothers pFAS","82.5",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,42.9,NA,NA
"578","May2013e.r","Drinking during first trimester","Case mothers ARND","100",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35,NA,NA
"579","May2013e.r","Drinking during second trimester","Case mothers FAS","73.1",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,49.708,NA,NA
"580","May2013e.r","Drinking during second trimester","Case mothers pFAS","70",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,36.4,NA,NA
"581","May2013e.r","Drinking during second trimester","Case mothers ARND","84.6",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,29.61,NA,NA
"582","May2013e.r","Drinking during third trimester","Case mothers FAS","62.7",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,42.636,NA,NA
"583","May2013e.r","Drinking during third trimester","Case mothers pFAS","52",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,27.04,NA,NA
"584","May2013e.r","Drinking during third trimester","Case mothers ARND","52",NA,"extracted from Table 3 page 826",1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,18.2,NA,NA
"585","May2013e.r","FAS diagnosis","Case mothers FAS","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,68,NA,NA
"586","May2013e.r","pFAS diagnosis","Case mothers pFAS","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,52,NA,NA
"587","May2013e.r","ARND diagnosis","Case mothers ARND","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,35,NA,NA
"588","May2013e.r","FAS diagnosis","Case mothers pFAS","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,52,NA,NA
"589","May2013e.r","FAS diagnosis","Case mothers ARND","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,35,NA,NA
"590","May2013e.r","pFAS diagnosis","Case mothers FAS","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,68,NA,NA
"591","May2013e.r","pFAS diagnosis","Case mothers ARND","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,35,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,35,NA,NA
"592","May2013e.r","ARND diagnosis","Case mothers FAS","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,68,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,68,NA,NA
"593","May2013e.r","ARND diagnosis","Case mothers pFAS","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,52,"school",2013,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,52,NA,NA
"594","May2014.r","Current alcohol consumption days","Case mothers",NA,NA,"extracted from table 4 page 862",NA,4.9,5.7,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"595","May2014.r","Current alcohol consumption days","Control mothers",NA,NA,"extracted from table 4 page 862",NA,3,2.7,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"596","May2014.r","Binge current 3+","Case mothers","33.3",NA,"Binge 3 drinks, extracted from table 4 page 862",1,NA,NA,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"logical",FALSE,9.99,1,"FASD diagnosis"
"597","May2014.r","Binge current 3+","Control mothers","25",NA,"Binge 3 drinks, extracted from table 4 page 862",1,NA,NA,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"logical",FALSE,20,0,"FASD diagnosis"
"598","May2014.r","Binge current 5+","Case mothers","18.5",NA,"Binge 5 drinks, extracted from table 4 page 862",1,NA,NA,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"logical",FALSE,5.55,1,"FASD diagnosis"
"599","May2014.r","Binge current 5+","Control mothers","8.9",NA,"Binge 5 drinks, extracted from table 4 page 862",1,NA,NA,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"logical",FALSE,7.12,0,"FASD diagnosis"
"600","May2014.r","Drinking before","Case mothers",NA,NA,"extracted from table 4 page 862",NA,2.7,1.5,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"601","May2014.r","Drinking before","Control mothers",NA,NA,"extracted from table 4 page 862",NA,1.4,1.9,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"602","May2014.r","Alcohol consumption: during first trimester","Case mothers",NA,NA,"extracted from table 4 page 862",NA,0.5,1.4,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"603","May2014.r","Alcohol consumption: during first trimester","Control mothers",NA,NA,"extracted from table 4 page 862",NA,0.1,0.6,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"604","May2014.r","Alcohol consumption: during second trimester","Case mothers",NA,NA,"extracted from table 4 page 862",NA,0.1,0.4,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"605","May2014.r","Alcohol consumption: during second trimester","Control mothers",NA,NA,"extracted from table 4 page 862",NA,0,0.1,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"606","May2014.r","Alcohol consumption: during third trimester","Case mothers",NA,NA,"extracted from table 4 page 862",NA,0,0.2,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"607","May2014.r","Alcohol consumption: during third trimester","Control mothers",NA,NA,"extracted from table 4 page 862",NA,0,0.1,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"608","May2014.r","FASD diagnosis","Case mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,TRUE,"logical",TRUE,30,NA,NA
"609","May2014.r","FASD diagnosis","Control mothers","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,80,"school",NA,2010,2011,"United States","non-native","retrospective",FALSE,TRUE,"logical",TRUE,80,NA,NA
"610","May2014a.r","Smoking during","Case mothers","74.4",NA,"Extracted from table 1 page 34",1,NA,NA,NA,NA,NA,NA,NA,43,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,31.992,1,"FASD diagnosis"
